Agriculture,The mining industry,Power,The construction industry,Traffic and transportation industry,Accommodation and catering industry,The transmission of information industry,Finance,Estate,Leasing and business services,The scientific research and technical services,Water conservancy,Education,Health and social work,Culture and sports,Comprehensive,Manufacturing industry,The wholesale and retail industry
600097,600028,600008,600039,600004,600754,600037,600000,600007,600057,600645,600054,600661,600763,600088,600082,600005,600051
600108,600121,600011,600068,600009,601007,600050,600015,600048,600138,601226,600292,,,600373,600149,600006,600058
600257,600123,600021,600133,600012,,600289,600016,600052,600258,603017,600593,,,600551,600200,600010,600113
600265,600139,600023,600170,600017,,600406,600030,600053,600358,603018,600706,,,600633,600212,600019,600120
600354,600157,600027,600209,600018,,600410,600036,600064,600415,603126,600749,,,600757,600260,600022,600122
600359,600188,600098,600248,600020,,600446,600109,600067,600640,603698,600832,,,600825,600455,600031,600128
600791,600193,600101,600284,600026,,600476,600369,600077,600790,,603099,,,600880,600603,600038,600136
600467,600256,600116,600326,600029,,600536,600643,600094,601888,,603199,,,601098,600620,600055,600153
600506,600259,600131,600463,600033,,600570,600705,600158,603729,,603588,,,601801,600624,600056,600175
600540,600311,600167,600477,600035,,600571,600816,600159,,,603869,,,601928,600701,600059,600180
600598,600348,600168,600491,600106,,600588,600837,600162,,,,,,601999,600777,600060,600203
600965,600395,600187,600496,600115,,600637,600958,600173,,,,,,,600783,600061,600211
600975,600397,600207,600502,600119,,600718,600999,600185,,,,,,,600784,600062,600241
601118,600403,600236,600512,600125,,600728,601009,600208,,,,,,,600805,600063,600247
,600489,600283,600528,600190,,600756,601099,600215,,,,,,,600817,600066,600250
,600497,600310,600545,600221,,600764,601166,600223,,,,,,,600895,600069,600272
,600508,600323,600681,600242,,600770,601169,600225,,,,,,,,600070,600278
,600532,600396,600820,600269,,600797,601198,600238,,,,,,,,600071,600280
,600547,600452,600846,600270,,600804,601288,600239,,,,,,,,600072,600287
,600583,600461,600853,600279,,600831,601318,600240,,,,,,,,600073,600306
,600652,600483,600986,600317,,600845,601328,600246,,,,,,,,600074,600313
,600711,600505,601117,600350,,600850,601336,600266,,,,,,,,600075,600327
,600714,600509,601186,600368,,601519,601377,600275,,,,,,,,600076,600335
,600766,600578,601390,600377,,601929,601398,600322,,,,,,,,600078,600361
,600882,600617,601618,600428,,603000,601555,600325,,,,,,,,600079,600382
,600971,600635,601668,600548,,603636,601601,600340,,,,,,,,600080,600386
,600988,600642,601669,600561,,,601628,600376,,,,,,,,600081,600387
,601001,600644,601789,600575,,,601688,600383,,,,,,,,600083,600511
,601069,600674,601800,600611,,,601788,600393,,,,,,,,600084,600515
,601088,600719,601886,600650,,,601818,600503,,,,,,,,600085,600546
,601101,600726,603030,600662,,,601901,600510,,,,,,,,600086,600576
,601168,600744,603828,600676,,,601939,600533,,,,,,,,600089,600605
,601225,600758,,600692,,,601988,600555,,,,,,,,600090,600626
,601666,600780,,600708,,,601998,600565,,,,,,,,600091,600628
,601699,600795,,600717,,,,600604,,,,,,,,600093,600648
,601808,600863,,600751,,,,600606,,,,,,,,600095,600653
,601857,600864,,600787,,,,600621,,,,,,,,600096,600655
,601898,600868,,600794,,,,600622,,,,,,,,600099,600656
,601899,600874,,600798,,,,600638,,,,,,,,600100,600677
,601918,600886,,600834,,,,600639,,,,,,,,600103,600682
,601958,600900,,600896,,,,600641,,,,,,,,600104,600693
,603993,600917,,600897,,,,600647,,,,,,,,600105,600694
,,600969,,601000,,,,600649,,,,,,,,600107,600697
,,600979,,601006,,,,600657,,,,,,,,600110,600704
,,600982,,601008,,,,600658,,,,,,,,600111,600712
,,600995,,601018,,,,600663,,,,,,,,600112,600713
,,601016,,601021,,,,600665,,,,,,,,600114,600723
,,601139,,601107,,,,600675,,,,,,,,600117,600729
,,601158,,601111,,,,600683,,,,,,,,600118,600734
,,601199,,601188,,,,600684,,,,,,,,600126,600738
,,601991,,601333,,,,600696,,,,,,,,600127,600739
,,,,601518,,,,600716,,,,,,,,600129,600753
,,,,601866,,,,600724,,,,,,,,600130,600755
,,,,601872,,,,600730,,,,,,,,600132,600759
,,,,601880,,,,600732,,,,,,,,600135,600774
,,,,601919,,,,600733,,,,,,,,600137,600778
,,,,603128,,,,600736,,,,,,,,600141,600785
,,,,603167,,,,600743,,,,,,,,600143,600811
,,,,,,,,600745,,,,,,,,600145,600814
,,,,,,,,600747,,,,,,,,600146,600821
,,,,,,,,600748,,,,,,,,,600822
,,,,,,,,600767,,,,,,,,,600824
,,,,,,,,600773,,,,,,,,,600826
,,,,,,,,600791,,,,,,,,,600827
,,,,,,,,600807,,,,,,,,,600828
,,,,,,,,600823,,,,,,,,,600830
,,,,,,,,600862,,,,,,,,,600833
,,,,,,,,600890,,,,,,,,,600838
,,,,,,,,601588,,,,,,,,,600856
,,,,,,,,,,,,,,,,,600857
,,,,,,,,,,,,,,,,,600858
,,,,,,,,,,,,,,,,,600859
,,,,,,,,,,,,,,,,,600861
,,,,,,,,,,,,,,,,,600865
,,,,,,,,,,,,,,,,,600891
,,,,,,,,,,,,,,,,,600892
,,,,,,,,,,,,,,,,,600898
,,,,,,,,,,,,,,,,,600976
,,,,,,,,,,,,,,,,,600981
,,,,,,,,,,,,,,,,,600993
,,,,,,,,,,,,,,,,,600998
,,,,,,,,,,,,,,,,,601010
,,,,,,,,,,,,,,,,,601116
,,,,,,,,,,,,,,,,,601258
,,,,,,,,,,,,,,,,,601607
,,,,,,,,,,,,,,,,,601933
,,,,,,,,,,,,,,,,,603003
,,,,,,,,,,,,,,,,,603123
,,,,,,,,,,,,,,,,,603368
,,,,,,,,,,,,,,,,,603939
